id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration
id2070428,1,2016-02-28T02:23:02.000+05:30,2016-02-28T02:31:08.000+05:30,1,-73.9803695678711,40.7424201965332,-73.96285247802734,40.76063537597656,N,486
id0809232,2,2016-04-01T12:12:25.000+05:30,2016-04-01T12:23:17.000+05:30,1,-73.97953796386719,40.753360748291016,-73.96399688720703,40.763458251953125,N,652
id2352683,1,2016-04-09T03:34:27.000+05:30,2016-04-09T03:41:30.000+05:30,1,-73.99586486816406,40.758811950683594,-73.99332427978516,40.74032211303711,N,423
id1603037,1,2016-06-25T10:36:26.000+05:30,2016-06-25T10:55:49.000+05:30,1,-73.9935531616211,40.74717330932617,-74.00614166259766,40.704383850097656,N,1163
id3321406,2,2016-06-03T08:15:05.000+05:30,2016-06-03T08:56:30.000+05:30,1,-73.95523071289062,40.77713394165039,-73.78874969482422,40.64147186279297,N,2485
id0129640,2,2016-02-14T13:27:56.000+05:30,2016-02-14T13:49:19.000+05:30,1,-73.95658111572266,40.771358489990234,-73.97496795654297,40.732791900634766,N,1283
id3587298,1,2016-02-27T21:56:01.000+05:30,2016-02-27T22:14:51.000+05:30,1,-73.9837646484375,40.749874114990234,-73.95883178710938,40.800960540771484,N,1130
id2104175,1,2016-06-20T23:07:16.000+05:30,2016-06-20T23:18:50.000+05:30,1,-73.95843505859375,40.713191986083984,-73.94953918457031,40.68025207519531,N,694
id3973319,2,2016-06-13T21:57:27.000+05:30,2016-06-13T22:12:19.000+05:30,1,-73.99421691894531,40.71330642700195,-73.98284912109375,40.692298889160156,N,892
id1410897,1,2016-03-23T14:10:39.000+05:30,2016-03-23T14:49:30.000+05:30,1,-73.98211669921875,40.756351470947266,-73.86569213867188,40.77098846435547,N,2331
id0266980,1,2016-05-17T10:47:51.000+05:30,2016-05-17T11:12:30.000+05:30,1,-73.97093963623047,40.76166915893555,-73.9962387084961,40.72536849975586,N,1479
id2822549,2,2016-05-21T13:03:24.000+05:30,2016-05-21T13:20:52.000+05:30,1,-73.9982681274414,40.72003936767578,-74.01036071777344,40.67213821411133,N,1048
id3075902,2,2016-05-10T19:27:38.000+05:30,2016-05-10T19:44:40.000+05:30,2,-74.00550079345703,40.70658874511719,-73.9858169555664,40.74420166015625,N,1022
id0023813,1,2016-04-17T14:38:30.000+05:30,2016-04-17T15:16:19.000+05:30,1,-73.99031066894531,40.7565803527832,-73.87091827392578,40.773929595947266,N,2269
id3970352,1,2016-01-09T12:55:35.000+05:30,2016-01-09T13:07:22.000+05:30,1,-74.00899505615234,40.712589263916016,-73.9986343383789,40.722808837890625,N,707
id3361153,1,2016-03-11T07:11:23.000+05:30,2016-03-11T07:20:09.000+05:30,1,-73.99456024169922,40.750526428222656,-73.97850036621094,40.75619125366211,N,526
id1870624,1,2016-01-05T15:29:54.000+05:30,2016-01-05T15:39:07.000+05:30,3,-73.9515151977539,40.77024841308594,-73.95852661132812,40.76151657104492,N,553
id2403238,1,2016-06-23T23:00:09.000+05:30,2016-06-23T23:04:46.000+05:30,1,-73.98806762695312,40.72808074951172,-73.98075103759766,40.72146987915039,N,277
id3323083,1,2016-05-27T14:26:12.000+05:30,2016-05-27T14:46:01.000+05:30,2,-73.9781265258789,40.75834274291992,-73.99224853515625,40.73054122924805,N,1189
id3720663,1,2016-05-10T16:14:56.000+05:30,2016-05-10T16:40:19.000+05:30,1,-73.97776794433594,40.774078369140625,-73.9471435546875,40.77599334716797,N,1523
id0578558,1,2016-04-21T21:28:27.000+05:30,2016-04-21T21:52:37.000+05:30,2,-73.9885482788086,40.74597930908203,-73.97088623046875,40.79338455200195,N,1450
id2573056,2,2016-04-14T13:27:52.000+05:30,2016-04-14T13:46:14.000+05:30,2,-73.97472381591797,40.751136779785156,-73.9544448852539,40.76411819458008,N,1102
id2129090,1,2016-03-14T14:05:39.000+05:30,2016-03-14T14:28:05.000+05:30,1,-73.97509002685547,40.758766174316406,-73.95320129394531,40.76506805419922,N,1346
id3961107,1,2016-03-19T01:12:46.000+05:30,2016-03-19T01:18:49.000+05:30,1,-73.97647094726562,40.73978042602539,-73.98066711425781,40.72996520996094,N,363
id3326491,2,2016-02-12T07:41:56.000+05:30,2016-02-12T07:51:15.000+05:30,1,-73.97964477539062,40.73963165283203,-73.9947280883789,40.72349548339844,N,559
id0718344,2,2016-06-13T15:52:20.000+05:30,2016-06-13T16:16:58.000+05:30,1,-74.01632690429688,40.70499038696289,-73.98210906982422,40.77375030517578,N,1478
id3188770,1,2016-01-03T16:59:02.000+05:30,2016-01-03T17:04:50.000+05:30,1,-73.98513793945312,40.73219299316406,-73.98963928222656,40.72087478637695,N,348
id1956279,2,2016-02-26T08:37:00.000+05:30,2016-02-26T08:43:15.000+05:30,1,-73.98165893554688,40.77897262573242,-73.96981048583984,40.79212951660156,N,375
id2391523,1,2016-05-18T21:50:24.000+05:30,2016-05-18T22:10:41.000+05:30,3,-73.9661636352539,40.76691436767578,-73.99217987060547,40.7258186340332,N,1217
id2662609,1,2016-04-10T19:11:03.000+05:30,2016-04-10T19:25:39.000+05:30,1,-73.96546936035156,40.765846252441406,-73.96095275878906,40.79692840576172,N,876
id2067879,2,2016-01-19T23:19:01.000+05:30,2016-01-19T23:44:58.000+05:30,1,-73.99681854248047,40.75286102294922,-73.80900573730469,40.81687545776367,N,1557
id1939961,1,2016-05-07T13:18:52.000+05:30,2016-05-07T13:46:19.000+05:30,1,-73.97725677490234,40.77424621582031,-73.9900131225586,40.7326545715332,N,1647
id0675800,2,2016-02-15T09:25:15.000+05:30,2016-02-15T09:35:49.000+05:30,6,-73.97775268554688,40.75463104248047,-74.00167846679688,40.75642013549805,N,634
id2569332,1,2016-04-13T14:24:47.000+05:30,2016-04-13T14:30:52.000+05:30,1,-73.9687271118164,40.78643798828125,-73.96049499511719,40.77815246582031,N,365
id0526266,2,2016-05-15T09:42:58.000+05:30,2016-05-15T09:56:37.000+05:30,1,-73.93488311767578,40.80101013183594,-73.98300170898438,40.72256851196289,N,819
id3827863,2,2016-04-19T11:29:08.000+05:30,2016-04-19T12:27:56.000+05:30,3,-73.79289245605469,40.65787887573242,-73.80918884277344,40.690181732177734,N,3528
id1388344,2,2016-01-02T15:41:11.000+05:30,2016-01-02T16:01:39.000+05:30,2,-73.98233795166016,40.76280975341797,-73.98285675048828,40.748779296875,N,1228
id1079955,1,2016-04-22T11:28:00.000+05:30,2016-04-22T12:11:27.000+05:30,1,-73.9948501586914,40.718780517578125,-73.98341369628906,40.75885009765625,N,2607
id0256505,1,2016-03-14T15:04:38.000+05:30,2016-03-14T15:16:13.000+05:30,1,-73.9944839477539,40.745086669921875,-73.99899291992188,40.72270965576172,N,695
id1530524,1,2016-03-19T17:41:05.000+05:30,2016-03-19T17:48:57.000+05:30,1,-73.95342254638672,40.76765823364258,-73.98031616210938,40.7377815246582,N,472
id1674872,1,2016-02-29T02:46:24.000+05:30,2016-02-29T02:55:10.000+05:30,1,-73.95185089111328,40.71406936645508,-73.96797180175781,40.688720703125,N,526
id1040444,2,2016-01-07T17:01:32.000+05:30,2016-01-07T17:13:33.000+05:30,4,-73.9769515991211,40.75202178955078,-74.00121307373047,40.75161361694336,N,721
id1674996,1,2016-05-13T12:32:12.000+05:30,2016-05-13T12:40:44.000+05:30,1,-74.00180053710938,40.72613525390625,-74.00715637207031,40.740806579589844,N,512
id1965939,1,2016-05-24T12:16:33.000+05:30,2016-05-24T12:28:33.000+05:30,1,-73.99409484863281,40.76155090332031,-73.98063659667969,40.78963851928711,N,720
id0442192,1,2016-04-10T16:07:46.000+05:30,2016-04-10T16:10:40.000+05:30,1,-74.0063247680664,40.73339080810547,-74.00000762939453,40.743255615234375,N,174
id0515898,2,2016-05-21T17:38:55.000+05:30,2016-05-21T17:46:53.000+05:30,1,-74.00257110595703,40.73931121826172,-73.99188232421875,40.744998931884766,N,478
id1182327,2,2016-02-29T11:22:35.000+05:30,2016-02-29T11:35:43.000+05:30,1,-73.94830322265625,40.774436950683594,-73.96370697021484,40.75548553466797,N,788
id3913101,1,2016-06-25T22:05:46.000+05:30,2016-06-25T22:22:29.000+05:30,2,-74.00141143798828,40.76143264770508,-73.92462921142578,40.86402893066406,N,1003
id1680350,1,2016-03-18T20:56:16.000+05:30,2016-03-18T20:59:51.000+05:30,1,-74.00298309326172,40.72331237792969,-74.00155639648438,40.728824615478516,N,215
id0913838,2,2016-02-03T16:22:50.000+05:30,2016-02-03T16:37:20.000+05:30,5,-73.97833251953125,40.75407028198242,-73.95973205566406,40.77275848388672,N,870
id3896508,2,2016-06-07T22:32:32.000+05:30,2016-06-07T22:46:06.000+05:30,1,-73.8633804321289,40.76988983154297,-73.83712768554688,40.72135925292969,N,814
id2846400,2,2016-03-16T20:13:12.000+05:30,2016-03-16T20:23:49.000+05:30,1,-73.99725341796875,40.717960357666016,-73.99925231933594,40.730018615722656,N,637
id1510700,2,2016-02-20T21:58:13.000+05:30,2016-02-20T21:59:10.000+05:30,1,-73.9583969116211,40.77262878417969,-73.95513153076172,40.77424240112305,N,57
id0813128,2,2016-02-20T18:57:43.000+05:30,2016-02-20T19:07:32.000+05:30,2,-73.99120330810547,40.74955368041992,-73.97919464111328,40.746307373046875,N,589
id1158195,1,2016-03-24T17:58:51.000+05:30,2016-03-24T18:36:46.000+05:30,1,-73.99232482910156,40.73072052001953,-73.87250518798828,40.774497985839844,N,2275
id0959273,1,2016-03-20T23:16:39.000+05:30,2016-03-20T23:27:26.000+05:30,1,-73.98883819580078,40.76890182495117,-73.95553588867188,40.77174377441406,N,647
id0739660,1,2016-05-16T13:07:10.000+05:30,2016-05-16T13:34:18.000+05:30,3,-73.9647216796875,40.80660629272461,-73.98457336425781,40.760677337646484,N,1628
id3769871,1,2016-06-17T17:32:59.000+05:30,2016-06-17T18:11:56.000+05:30,1,-73.94314575195312,40.78963088989258,-73.9894790649414,40.76276397705078,N,2337
id1818021,1,2016-03-23T00:34:10.000+05:30,2016-03-23T00:45:24.000+05:30,1,-74.01116943359375,40.70360565185547,-74.00569152832031,40.74135971069336,N,674
id0982165,2,2016-04-12T21:29:16.000+05:30,2016-04-12T21:49:06.000+05:30,1,-73.98031616210938,40.75885009765625,-74.01013946533203,40.705081939697266,N,1190
id1519515,2,2016-06-11T12:52:19.000+05:30,2016-06-11T13:12:10.000+05:30,1,-73.95049285888672,40.77126693725586,-74.0012435913086,40.746490478515625,N,1191
id1082443,2,2016-02-25T14:56:26.000+05:30,2016-02-25T15:09:31.000+05:30,1,-73.98712158203125,40.76847457885742,-73.97582244873047,40.75971221923828,N,785
id2934884,2,2016-01-07T19:32:15.000+05:30,2016-01-07T19:40:55.000+05:30,1,-73.98638916015625,40.756614685058594,-73.99979400634766,40.76163101196289,N,520
id1205949,1,2016-06-05T18:43:14.000+05:30,2016-06-05T18:46:52.000+05:30,1,-73.96260833740234,40.758827209472656,-73.95419311523438,40.76405334472656,N,218
id2592310,2,2016-06-13T07:20:46.000+05:30,2016-06-13T07:24:28.000+05:30,1,-73.99041748046875,40.75688171386719,-73.98197937011719,40.75999069213867,N,222
id0883711,1,2016-01-16T21:22:41.000+05:30,2016-01-16T21:42:45.000+05:30,1,-73.99363708496094,40.73421859741211,-73.96146392822266,40.7692985534668,N,1204
id0283075,1,2016-04-06T23:42:26.000+05:30,2016-04-07T00:12:08.000+05:30,1,-73.78247833251953,40.64464569091797,-73.98112487792969,40.72088623046875,N,1782
id2107497,1,2016-05-13T20:46:55.000+05:30,2016-05-13T21:06:29.000+05:30,2,-74.01395416259766,40.712833404541016,-73.99755096435547,40.718074798583984,N,1174
id2090852,2,2016-01-28T11:25:20.000+05:30,2016-01-28T11:30:56.000+05:30,1,-73.96882629394531,40.75419616699219,-73.9727554321289,40.746612548828125,N,336
id1297351,2,2016-06-24T14:24:31.000+05:30,2016-06-24T14:32:21.000+05:30,1,-74.00328826904297,40.72697067260742,-73.99330139160156,40.73912048339844,N,470
id0667605,2,2016-05-27T16:17:36.000+05:30,2016-05-27T16:23:22.000+05:30,1,-73.99105834960938,40.73957061767578,-74.006103515625,40.73455047607422,N,346
id1476107,1,2016-05-22T15:41:29.000+05:30,2016-05-22T15:48:28.000+05:30,1,-73.96688079833984,40.78868103027344,-73.96282196044922,40.775726318359375,N,419
id0673727,2,2016-05-18T19:15:27.000+05:30,2016-05-18T19:44:49.000+05:30,1,-73.96167755126953,40.77596664428711,-73.85739135742188,40.73328399658203,N,1762
id2030290,1,2016-03-31T11:33:30.000+05:30,2016-03-31T12:12:31.000+05:30,3,-73.86431884765625,40.76982879638672,-73.9858627319336,40.76095199584961,N,2341
id3770790,1,2016-02-13T13:12:49.000+05:30,2016-02-13T13:19:35.000+05:30,1,-73.99223327636719,40.74428176879883,-74.00823211669922,40.74882507324219,N,406
id3025098,2,2016-01-20T19:21:31.000+05:30,2016-01-20T19:31:27.000+05:30,1,-73.97698211669922,40.750301361083984,-73.9991226196289,40.73950958251953,N,596
id3333094,2,2016-06-02T23:34:00.000+05:30,2016-06-02T23:41:15.000+05:30,1,-73.97346496582031,40.75522994995117,-73.97736358642578,40.742820739746094,N,435
id2228940,1,2016-02-04T13:22:02.000+05:30,2016-02-04T13:40:30.000+05:30,1,-73.98186492919922,40.75877380371094,-73.97022247314453,40.784141540527344,N,1108
id2102594,1,2016-03-30T16:14:29.000+05:30,2016-03-30T17:01:33.000+05:30,1,-73.78984069824219,40.643558502197266,-73.97066497802734,40.687278747558594,N,2824
id0010677,1,2016-04-29T10:40:34.000+05:30,2016-04-29T10:53:23.000+05:30,2,-73.99197387695312,40.749996185302734,-73.9778823852539,40.7548942565918,N,769
id3194108,1,2016-06-01T11:48:41.000+05:30,2016-06-01T12:19:07.000+05:30,1,-74.0050277709961,40.74645233154297,-73.97200775146484,40.74578094482422,N,1826
id2063827,1,2016-05-18T21:09:02.000+05:30,2016-05-18T21:18:55.000+05:30,1,-73.98141479492188,40.75673294067383,-73.97056579589844,40.75569534301758,N,593
id0105610,1,2016-02-19T20:01:24.000+05:30,2016-02-19T20:35:49.000+05:30,3,-73.78971862792969,40.643707275390625,-73.97869873046875,40.750343322753906,N,2065
id3502065,1,2016-03-15T21:03:44.000+05:30,2016-03-15T21:14:37.000+05:30,1,-73.97401428222656,40.75715255737305,-73.94973754882812,40.77709197998047,N,653
id3508035,2,2016-06-06T20:13:56.000+05:30,2016-06-06T20:45:20.000+05:30,6,-73.78813171386719,40.64146041870117,-73.97177124023438,40.74940872192383,N,1884
id3236276,2,2016-01-27T08:07:32.000+05:30,2016-01-27T08:24:01.000+05:30,1,-73.95603942871094,40.767608642578125,-73.96820068359375,40.78668975830078,N,989
id3277902,1,2016-04-09T15:04:31.000+05:30,2016-04-09T15:11:30.000+05:30,1,-73.9731674194336,40.755699157714844,-73.98865509033203,40.736995697021484,N,419
id2335059,1,2016-05-27T11:10:32.000+05:30,2016-05-27T11:26:34.000+05:30,4,-73.9758071899414,40.76062774658203,-73.98778533935547,40.754920959472656,N,962
id2300865,1,2016-05-10T10:31:22.000+05:30,2016-05-10T10:35:25.000+05:30,1,-73.96588134765625,40.762840270996094,-73.96099090576172,40.7708740234375,N,243
id3962434,2,2016-01-10T08:45:31.000+05:30,2016-01-10T08:51:44.000+05:30,2,-73.98927307128906,40.75648880004883,-74.00279998779297,40.760501861572266,N,373
id2677672,1,2016-02-18T17:47:39.000+05:30,2016-02-18T17:54:03.000+05:30,2,-73.94575500488281,40.773681640625,-73.95343017578125,40.78107833862305,N,384
id0589360,1,2016-05-22T17:34:08.000+05:30,2016-05-22T18:20:01.000+05:30,1,-73.86367797851562,40.769771575927734,-74.00721740722656,40.70489501953125,N,2753
id0970832,1,2016-03-12T20:39:39.000+05:30,2016-03-12T21:05:40.000+05:30,1,-74.00824737548828,40.747352600097656,-73.97944641113281,40.71875,N,1561
id0694434,1,2016-01-26T23:40:14.000+05:30,2016-01-26T23:48:39.000+05:30,1,-74.00679779052734,40.70607376098633,-73.9740219116211,40.744075775146484,N,505
id3729136,2,2016-01-30T15:15:47.000+05:30,2016-01-30T15:30:47.000+05:30,2,-73.9772720336914,40.75735092163086,-74.00243377685547,40.73440170288086,N,900
id2358953,2,2016-06-27T00:31:28.000+05:30,2016-06-27T01:06:44.000+05:30,1,-73.87081909179688,40.773738861083984,-73.85749816894531,41.0178108215332,N,2116
id0935429,1,2016-05-02T06:58:06.000+05:30,2016-05-02T07:08:17.000+05:30,1,-73.99909210205078,40.74549102783203,-73.97856140136719,40.762325286865234,N,611
id3056417,2,2016-04-11T14:18:21.000+05:30,2016-04-11T14:34:33.000+05:30,1,-73.98435974121094,40.74271011352539,-73.98774719238281,40.751888275146484,N,972
id1152886,2,2016-01-21T14:34:06.000+05:30,2016-01-21T14:44:10.000+05:30,1,-73.96167755126953,40.77117919921875,-73.95211029052734,40.784358978271484,N,604
id1796723,1,2016-02-09T15:54:53.000+05:30,2016-02-09T16:04:47.000+05:30,1,-73.99385833740234,40.73579788208008,-73.99462127685547,40.75046157836914,N,594
id0045014,1,2016-04-20T20:29:42.000+05:30,2016-04-20T20:39:16.000+05:30,1,-73.95012664794922,40.780086517333984,-73.96282958984375,40.7626838684082,N,574
id2648478,1,2016-01-18T11:13:59.000+05:30,2016-01-18T11:18:56.000+05:30,1,-73.95157623291016,40.7664680480957,-73.96021270751953,40.76054000854492,N,297
id0702030,1,2016-01-07T23:24:44.000+05:30,2016-01-07T23:26:25.000+05:30,1,-73.99929809570312,40.749534606933594,-74.00536346435547,40.7435188293457,N,101
id3024438,2,2016-06-10T22:24:37.000+05:30,2016-06-10T22:41:58.000+05:30,1,-73.95372009277344,40.77529525756836,-73.99119567871094,40.726318359375,N,1041
id2146569,2,2016-06-23T22:17:35.000+05:30,2016-06-23T22:21:07.000+05:30,1,-73.97679901123047,40.74995040893555,-73.9815673828125,40.74576950073242,N,212
id2307151,1,2016-02-07T18:08:06.000+05:30,2016-02-07T18:15:08.000+05:30,1,-73.96195220947266,40.800445556640625,-73.9784164428711,40.78279113769531,N,422
id2049424,2,2016-03-02T20:15:07.000+05:30,2016-03-02T20:37:43.000+05:30,1,-73.9638900756836,40.773651123046875,-74.00511169433594,40.75149154663086,N,1356
id2209089,1,2016-02-24T22:56:43.000+05:30,2016-02-24T23:03:39.000+05:30,1,-74.00691223144531,40.73036193847656,-74.00594329833984,40.72706985473633,N,416
id0391524,1,2016-04-06T12:14:40.000+05:30,2016-04-06T12:33:18.000+05:30,1,-73.97864532470703,40.7480354309082,-73.97013092041016,40.76273727416992,N,1118
id2681033,1,2016-06-17T10:01:39.000+05:30,2016-06-17T10:16:13.000+05:30,1,-73.9768295288086,40.788211822509766,-73.98374938964844,40.76253128051758,N,874
id2040275,1,2016-06-16T20:31:09.000+05:30,2016-06-16T20:36:30.000+05:30,1,-73.93694305419922,40.79823303222656,-73.94638061523438,40.7808837890625,N,321
id0073842,2,2016-03-30T23:49:41.000+05:30,2016-03-30T23:56:21.000+05:30,1,-73.99005126953125,40.73801040649414,-73.99093627929688,40.725215911865234,N,400
id3942339,1,2016-01-05T17:58:04.000+05:30,2016-01-05T18:13:38.000+05:30,1,-73.97882843017578,40.752803802490234,-73.99103546142578,40.75041961669922,N,934
id2991616,2,2016-03-19T19:51:34.000+05:30,2016-03-19T20:04:27.000+05:30,3,-73.98356628417969,40.75556182861328,-73.98236846923828,40.76696014404297,N,773
id1047459,2,2016-01-22T17:31:53.000+05:30,2016-01-22T17:37:30.000+05:30,3,-73.98841094970703,40.75896072387695,-73.99189758300781,40.77069091796875,N,337
id1737558,1,2016-05-18T19:08:31.000+05:30,2016-05-18T19:12:25.000+05:30,1,-73.96023559570312,40.762229919433594,-73.95059204101562,40.77531433105469,N,234
id2135557,2,2016-05-25T13:19:56.000+05:30,2016-05-25T13:27:50.000+05:30,5,-73.97028350830078,40.76483154296875,-73.95757293701172,40.78247833251953,N,474
id0659170,2,2016-03-26T13:07:08.000+05:30,2016-03-26T13:29:02.000+05:30,1,-73.96865844726562,40.76450729370117,-73.87283325195312,40.771453857421875,N,1314
id1125774,1,2016-01-19T22:20:43.000+05:30,2016-01-19T22:28:45.000+05:30,2,-73.99453735351562,40.740234375,-73.97618865966797,40.76259231567383,N,482
id1886740,1,2016-05-29T00:15:12.000+05:30,2016-05-29T00:24:38.000+05:30,1,-73.98511505126953,40.76872634887695,-73.95166778564453,40.77443313598633,N,566
id1982306,2,2016-02-10T21:06:14.000+05:30,2016-02-10T21:09:23.000+05:30,2,-73.98493957519531,40.75185775756836,-73.9835433959961,40.74433517456055,N,189
id2684106,2,2016-02-26T20:59:13.000+05:30,2016-02-26T21:14:26.000+05:30,2,-74.00100708007812,40.731781005859375,-73.98715209960938,40.77100372314453,N,913
id0038484,2,2016-03-09T13:41:11.000+05:30,2016-03-09T13:53:27.000+05:30,2,-73.97285461425781,40.764400482177734,-73.97180938720703,40.75788879394531,N,736
id1734208,2,2016-04-11T10:44:32.000+05:30,2016-04-11T10:56:26.000+05:30,6,-73.99707794189453,40.720638275146484,-73.9996337890625,40.7458381652832,N,714
id0561467,1,2016-02-09T06:58:53.000+05:30,2016-02-09T07:12:28.000+05:30,1,-73.97254943847656,40.79401779174805,-73.95405578613281,40.766300201416016,N,815
id3092788,2,2016-03-03T22:01:32.000+05:30,2016-03-03T22:17:44.000+05:30,2,-73.98477172851562,40.7105712890625,-73.98941040039062,40.73014831542969,N,972
id1741519,2,2016-03-26T14:47:44.000+05:30,2016-03-26T14:53:02.000+05:30,1,-73.98478698730469,40.74301528930664,-73.99360656738281,40.735286712646484,N,318
id1330402,2,2016-05-22T18:06:05.000+05:30,2016-05-22T18:16:30.000+05:30,1,-73.9918212890625,40.75007629394531,-73.97105407714844,40.75669860839844,N,625
id2505596,2,2016-05-28T22:53:12.000+05:30,2016-05-28T23:07:31.000+05:30,1,-73.9849853515625,40.74858093261719,-73.98127746582031,40.76911544799805,N,859
id1630509,2,2016-03-16T05:42:49.000+05:30,2016-03-16T05:45:10.000+05:30,2,-73.99366760253906,40.741878509521484,-73.98458862304688,40.75429916381836,N,141
id0512853,1,2016-05-28T17:40:21.000+05:30,2016-05-28T17:56:44.000+05:30,1,-73.96956634521484,40.7691650390625,-73.98652648925781,40.7303352355957,N,983
id3089912,2,2016-06-13T13:22:04.000+05:30,2016-06-13T13:31:29.000+05:30,2,-73.98995971679688,40.74108123779297,-73.97696685791016,40.74745178222656,N,565
id1137965,1,2016-05-16T15:02:10.000+05:30,2016-05-16T15:08:01.000+05:30,1,-73.9891357421875,40.775020599365234,-73.98181915283203,40.76605987548828,N,351
id3677225,2,2016-01-09T15:07:03.000+05:30,2016-01-09T15:12:45.000+05:30,1,-73.96788024902344,40.75981140136719,-73.95382690429688,40.77888107299805,N,342
id0401226,1,2016-05-26T06:37:10.000+05:30,2016-05-26T06:52:19.000+05:30,4,-74.00670623779297,40.7055549621582,-73.99169158935547,40.74972152709961,N,909
id2452605,2,2016-05-22T22:42:31.000+05:30,2016-05-22T22:46:18.000+05:30,1,-73.99626922607422,40.74985122680664,-73.99476623535156,40.736480712890625,N,227
id3618302,2,2016-04-19T09:27:04.000+05:30,2016-04-19T09:45:02.000+05:30,6,-73.98731994628906,40.750640869140625,-73.98928833007812,40.769405364990234,N,1078
id1552358,2,2016-04-01T07:55:30.000+05:30,2016-04-01T08:10:30.000+05:30,1,-73.97543334960938,40.752132415771484,-73.99078369140625,40.75094223022461,N,900
id1168234,1,2016-02-01T18:02:59.000+05:30,2016-02-01T18:13:30.000+05:30,1,-74.00020599365234,40.73784637451172,-74.00031280517578,40.72286605834961,N,631
